1.382,261.828,0.895
1.393,258.714,0.941
1.405,257.181,0.939
1.416,255.123,0.939
1.428,251.073,0.922
1.440,246.612,0.923
1.451,244.593,0.941
1.463,243.006,0.951
1.474,242.551,0.956
1.486,242.173,0.970
1.498,242.299,0.974
1.509,243.305,0.970
1.521,245.409,0.960
1.533,248.950,0.961
1.556,252.754,0.964
1.567,254.100,0.966
1.579,255.679,0.968
1.591,258.724,0.982
1.602,259.725,0.985
1.614,260.952,0.985
1.625,260.955,0.988
1.637,260.388,0.989
1.649,259.732,0.987
1.660,258.655,0.986
1.672,257.972,0.987
1.683,257.653,0.988
1.695,257.701,0.990
1.707,258.083,0.993
1.718,258.704,0.992
1.730,259.442,0.993
1.741,260.074,0.994
1.753,261.032,0.991
1.765,261.670,0.993
1.776,262.132,0.994
1.788,262.463,0.993
1.800,262.199,0.996
1.811,261.979,0.996
1.823,261.561,0.995
1.834,260.647,0.995
1.846,259.522,0.993
1.858,257.775,0.992
1.869,256.110,0.992
1.881,255.203,0.991
1.892,254.889,0.992
1.904,255.225,0.992
1.916,255.442,0.992
1.927,255.907,0.993
1.939,256.414,0.993
1.950,256.840,0.992
1.962,257.684,0.992
1.974,258.142,0.993
1.985,258.549,0.992
1.997,258.669,0.993
2.009,258.129,0.995
2.020,257.998,0.995
2.032,257.808,0.997
2.043,257.976,0.997
2.055,258.293,0.997
2.067,258.517,0.997
2.078,258.895,0.997
2.090,258.872,0.998
2.101,258.726,0.998
2.113,258.386,0.998
2.125,257.803,0.998
2.136,257.385,0.997
2.148,256.697,0.996
2.159,255.122,0.994
2.171,253.239,0.987
2.183,250.789,0.980
2.194,248.182,0.973
2.206,245.426,0.965
2.218,244.488,0.959
2.229,258.440,0.893
2.241,279.017,0.894
2.252,288.862,0.934
2.264,292.567,0.970
2.276,293.694,0.982
2.287,294.390,0.987
2.299,294.068,0.984
2.357,287.961,0.969
2.368,286.769,0.979
2.380,286.623,0.984
2.392,286.412,0.987
2.403,286.264,0.989
2.415,286.221,0.990
2.426,286.258,0.989
2.438,286.522,0.989
2.450,287.201,0.986
2.461,287.780,0.987
2.473,288.261,0.988
2.485,288.744,0.988
2.496,289.124,0.985
2.508,289.018,0.981
2.519,288.937,0.982
2.531,288.734,0.982
2.543,288.235,0.985
2.554,287.925,0.987
2.566,287.551,0.987
2.577,287.551,0.988
2.589,287.535,0.989
2.601,287.567,0.989
2.612,287.721,0.990
2.624,287.765,0.990
2.635,287.863,0.991
2.647,287.981,0.993
2.659,288.022,0.993
2.670,288.066,0.992
2.682,287.998,0.991
2.694,287.901,0.990
2.705,287.830,0.990
2.717,287.616,0.992
2.752,288.012,0.992
2.763,288.116,0.992
2.775,287.952,0.994
2.833,312.746,0.806
2.844,311.816,0.810
2.856,310.317,0.819
2.868,311.454,0.827
2.879,312.120,0.826
2.891,312.839,0.826
2.902,313.604,0.830
2.914,313.640,0.833
2.926,311.752,0.847
2.937,289.104,0.992
2.949,289.594,0.992
2.961,289.709,0.991
2.972,288.875,0.986
2.984,287.549,0.985
2.995,286.930,0.989
3.007,286.362,0.992
3.019,286.853,0.995
3.030,286.945,0.997
3.042,288.192,0.994
3.053,291.568,0.987
3.065,297.693,0.980
3.077,303.879,0.988
3.088,308.474,0.982
3.100,309.121,0.969
3.111,310.164,0.948
3.123,328.540,0.951
3.204,353.517,0.808
3.216,353.394,0.813
3.228,354.211,0.817
3.239,354.084,0.810
3.251,353.943,0.822
3.262,353.334,0.824
3.274,352.097,0.828
3.286,352.198,0.826
3.297,352.108,0.823
3.309,352.465,0.818
3.320,355.478,0.810
3.704,0.000,0.924
3.715,0.000,0.921
3.727,0.000,0.908
3.738,0.000,0.862
3.750,0.000,0.873
3.913,719.073,0.870
3.924,703.710,0.851
3.936,700.197,0.870
4.040,338.603,0.974
4.052,338.960,0.975
4.272,692.497,0.803
4.888,767.338,0.858
4.899,762.565,0.847
4.911,757.451,0.857
4.923,754.370,0.862
4.934,751.678,0.864
4.946,748.879,0.877
4.957,747.368,0.880
4.969,746.017,0.887
4.981,746.323,0.886
4.992,747.373,0.894
5.004,749.195,0.898
5.016,750.602,0.894
5.027,752.761,0.899
5.039,755.598,0.895
5.050,758.233,0.905
5.062,760.757,0.911
5.074,761.767,0.910
5.085,764.022,0.914
5.097,765.155,0.912
5.108,766.368,0.908
5.120,768.506,0.908
5.132,769.067,0.910
5.143,770.720,0.912
5.155,769.945,0.912
5.166,769.688,0.910
5.178,768.925,0.898
5.190,767.797,0.873
5.201,766.982,0.863
5.213,766.438,0.853
5.224,766.425,0.836
5.236,765.333,0.826
5.248,767.896,0.805
5.433,383.187,0.997
5.445,383.215,0.997
5.457,383.546,0.996
5.468,383.958,0.997
5.480,384.292,0.996
5.492,385.059,0.993
5.503,385.477,0.992
5.515,385.938,0.992
5.619,385.539,0.990
5.631,384.339,0.993
5.642,383.367,0.994
5.654,382.647,0.993
