2.287,208.786,0.488
2.299,221.257,0.723
2.310,218.035,0.880
2.322,454.355,0.302
2.334,439.699,0.323
2.345,445.391,0.372
2.357,440.793,0.367
2.368,443.018,0.366
2.380,443.682,0.357
2.392,443.005,0.322
2.403,445.322,0.334
2.415,442.433,0.313
2.426,445.782,0.321
2.438,441.473,0.308
2.450,444.421,0.314
2.461,0.000,0.310
2.473,0.000,0.318
2.485,443.530,0.333
2.496,442.529,0.320
2.508,445.761,0.338
2.519,441.301,0.318
2.531,440.461,0.483
2.543,886.526,0.352
2.554,884.835,0.348
2.566,885.177,0.345
2.577,887.051,0.351
2.589,887.644,0.335
2.601,890.236,0.328
2.612,890.125,0.325
2.624,888.976,0.321
2.635,887.822,0.316
2.647,885.909,0.319
2.659,885.118,0.313
2.670,884.804,0.314
2.682,885.948,0.324
2.694,887.492,0.325
2.705,0.000,0.330
2.717,890.090,0.326
2.728,889.169,0.321
2.740,887.184,0.320
2.752,884.872,0.320
2.763,879.548,0.294
2.775,785.471,0.347
2.786,792.590,0.367
2.798,789.953,0.357
2.810,788.992,0.349
2.821,792.230,0.342
2.833,788.600,0.316
2.844,791.803,0.318
2.856,789.875,0.315
2.868,0.000,0.318
2.879,0.000,0.323
2.891,0.000,0.323
2.902,0.000,0.332
2.914,0.000,0.324
2.926,0.000,0.338
2.937,0.000,0.328
2.949,1064.604,0.346
2.984,420.682,0.358
2.995,436.426,0.865
3.007,880.628,0.331
3.019,883.594,0.358
3.030,886.002,0.353
3.042,886.560,0.355
3.053,890.045,0.343
3.065,890.089,0.326
3.077,889.140,0.321
3.088,888.419,0.317
3.100,885.699,0.319
3.111,885.294,0.314
3.123,884.863,0.313
3.135,885.090,0.322
3.146,887.696,0.324
3.158,889.400,0.331
3.170,890.187,0.327
3.181,889.748,0.322
3.193,888.527,0.320
3.204,885.978,0.316
3.216,886.080,0.316
3.228,885.304,0.313
3.239,884.899,0.317
3.251,887.657,0.325
3.262,887.923,0.329
3.274,890.271,0.328
3.286,890.114,0.324
3.297,888.942,0.321
3.309,887.687,0.316
3.320,885.934,0.319
3.332,885.119,0.313
3.344,884.813,0.314
3.355,886.106,0.324
3.367,887.477,0.325
3.379,889.968,0.330
3.390,890.073,0.326
3.402,0.000,0.321
3.413,0.000,0.318
3.425,885.622,0.318
3.437,886.140,0.323
3.448,885.581,0.322
3.460,883.200,0.323
3.471,848.780,0.297
3.483,785.637,0.364
3.495,791.857,0.361
3.506,789.980,0.354
3.518,788.609,0.347
3.529,792.295,0.334
3.541,788.976,0.315
3.553,792.022,0.318
3.564,790.038,0.315
3.576,790.998,0.318
3.587,789.268,0.322
3.599,790.108,0.323
3.611,790.933,0.330
3.622,790.080,0.318
3.634,792.218,0.328
3.646,789.313,0.317
3.657,792.422,0.322
3.669,788.707,0.322
3.680,800.160,0.282
3.692,817.994,0.287
3.704,840.801,0.277
3.715,862.496,0.288
3.727,879.654,0.331
3.738,885.390,0.326
3.750,887.511,0.325
3.762,889.857,0.330
3.773,890.104,0.326
3.785,889.465,0.322
3.796,888.530,0.319
3.808,885.649,0.317
3.820,885.857,0.315
3.831,885.177,0.313
3.843,884.823,0.319
3.855,0.000,0.324
3.866,0.000,0.330
3.878,0.000,0.327
3.889,889.135,0.326
3.901,887.636,0.322
3.913,885.819,0.318
3.924,871.228,0.350
3.936,388.609,0.872
3.947,797.753,0.351
3.959,787.299,0.354
3.971,791.493,0.354
3.982,788.180,0.351
3.994,789.810,0.339
4.005,790.905,0.330
4.017,790.018,0.318
4.029,792.218,0.328
4.040,789.355,0.317
4.052,792.449,0.321
4.063,788.717,0.315
4.075,791.348,0.318
4.087,789.044,0.315
4.098,790.122,0.320
4.110,790.173,0.327
4.122,790.526,0.322
4.133,791.726,0.330
4.145,789.505,0.320
4.156,792.379,0.326
4.168,796.920,0.292
4.180,891.789,0.278
4.191,938.539,0.358
4.203,937.841,0.344
4.214,940.655,0.350
4.226,940.521,0.326
4.238,939.447,0.322
4.249,943.100,0.328
4.261,937.661,0.319
4.272,941.333,0.325
4.284,939.231,0.313
4.296,939.653,0.324
4.307,942.426,0.323
4.319,938.151,0.321
4.331,942.315,0.329
4.342,938.772,0.312
4.354,941.226,0.325
4.365,940.888,0.320
4.377,938.898,0.322
4.389,942.520,0.330
4.400,937.495,0.314
4.412,942.623,0.323
4.423,940.936,0.318
4.435,939.377,0.322
4.447,942.862,0.329
4.458,937.320,0.317
4.470,941.259,0.324
4.481,939.871,0.314
4.493,939.525,0.323
4.505,943.035,0.325
4.516,937.964,0.320
4.528,941.935,0.327
4.540,938.899,0.312
4.551,940.320,0.325
4.563,941.382,0.321
4.574,938.561,0.322
4.586,942.546,0.330
4.598,938.087,0.313
4.609,942.458,0.324
4.621,940.852,0.319
4.632,939.313,0.322
4.644,942.685,0.330
4.656,937.279,0.316
4.667,941.916,0.323
4.679,940.621,0.315
4.690,939.933,0.323
4.702,943.564,0.326
4.714,938.279,0.320
4.725,941.914,0.327
4.737,939.052,0.312
4.748,939.693,0.325
4.760,941.457,0.321
4.772,937.490,0.321
4.783,941.710,0.329
4.795,937.494,0.312
4.807,940.876,0.326
4.818,940.210,0.319
4.830,938.670,0.322
4.841,942.613,0.330
4.853,937.799,0.313
4.865,942.932,0.323
4.876,941.458,0.318
4.888,939.900,0.322
4.899,943.254,0.329
